總類,起始,結束,版本
C,26E8,26FF,5.2
C,2700,2700,7.0
C,2701,2704,1.1
C,2705,2705,6.0
C,2706,2709,1.1
C,270A,270B,6.0
C,270C,2727,1.1
C,2728,2728,6.0
C,2729,274B,1.1
C,274C,274C,6.0
C,274D,274D,1.1
C,274E,274E,6.0
C,274F,2752,1.1
C,2753,2755,6.0
C,2756,2756,1.1
C,2757,2757,5.2
C,2758,275E,1.1
C,275F,2760,6.0
C,2761,2767,1.1
C,2768,2775,3.2
C,2776,2794,1.1
C,2795,2797,6.0
C,2798,27AF,1.1
C,27B0,27B0,6.0
C,27B1,27BE,1.1
C,27BF,27BF,6.0
C,27C0,27C6,4.1
C,27C7,27CA,5.0
C,27CB,27CB,6.1
C,27CC,27CC,5.1
C,27CD,27CD,6.1
C,27CE,27CF,6.0
C,27D0,27EB,3.2
C,27EC,27EF,5.1
C,27F0,27FF,3.2
C,2800,28FF,3.0
C,2900,2AFF,3.2
C,2B00,2B0D,4.0
C,2B0E,2B13,4.1
C,2B14,2B1A,5.0
C,2B1B,2B1F,5.1
C,2B20,2B23,5.0
C,2B24,2B4C,5.1
C,2B4D,2B4F,7.0
C,2B50,2B54,5.1
C,2B55,2B59,5.2
C,2B5A,2B73,7.0
R,2B74,2B75,0
C,2B76,2B95,7.0
R,2B96,2B97,0
C,2B98,2BB9,7.0
C,2BBA,2BBC,11.0
C,2BBD,2BC8,7.0
C,2BC9,2BC9,12.0
C,2BCA,2BD1,7.0
C,2BD2,2BD2,10.0
C,2BD3,2BEB,11.0
C,2BEC,2BEF,8.0
C,2BF0,2BFE,11.0
C,2BFF,2BFF,12.0
C,2C00,2C2E,4.1
R,2C2F,2C2F,0
C,2C30,2C5E,4.1
R,2C5F,2C5F,0
C,2C60,2C6C,5.0
C,2C6D,2C6F,5.1
C,2C70,2C70,5.2
C,2C71,2C73,5.1
C,2C74,2C77,5.0
C,2C78,2C7D,5.1
C,2C7E,2C7F,5.2
C,2C80,2CEA,4.1
C,2CEB,2CF1,5.2
C,2CF2,2CF3,6.1
R,2CF4,2CF8,0
C,2CF9,2D25,4.1
R,2D26,2D26,0
C,2D27,2D27,6.1
R,2D28,2D2C,0
C,2D2D,2D2D,6.1
R,2D2E,2D2F,0
C,2D30,2D65,4.1
C,2D66,2D67,6.1
R,2D68,2D6E,0
C,2D6F,2D6F,4.1
C,2D70,2D70,6.0
R,2D71,2D7E,0
C,2D7F,2D7F,6.0
C,2D80,2D96,4.1
R,2D97,2D9F,0
C,2DA0,2DA6,4.1
R,2DA7,2DA7,0
